creator_name,userid,comment
Brave Wilderness,399245,coyote when are you getting stung by a jellyfish?
ViralHog,564701,Awww. Pure love
The Fatman,1651763,of the very cool concord sir
Dino Master,1577462,Spor videoları hemen bir tık ötenizde. Kanalıma gelip abone olmayı unutmayın!
Brian Barczyk,2177894,Name the snake chill or chilly. Ive always wanted a snake. Youre the reason I finally got my first snake. Thanks for all that you do and have a great day.
The Dodo,1666623,Well that guy who saved the puppy was a good guy super heartwarming
Brave Wilderness,2419685,Coyote I think you should show the viewers a bite from the blacktip reef shark
HoppingHammy,268335,Woah so pretty😍
The Dodo,2264668,How the hell did that deer get caught up like that?
Vet Ranch,2010026,NOTI GANG !! THE BEST GANG
PETA (People for the Ethical Treatment of Animals),385987,Lets see him do that with a full grown bear.🐻Lil weasel!
Amethyst Is Cutie,2374698,GIMME A SHOUT OUTTTTTTTTTTTTTTTTTTTTT IM UR FANNNNNNNNN
Kitten Academy,805427,No wonder he doesnt nurse with the others.
Taylor Nicole Dean,386533,Your bf should stop selling you meth
Brave Wilderness,644419,Can  you             go  to  my  hom         my  name  is  stellafox
Moonpie en Casa,1365139,Hola me das un corazoncito se ve Hermosa emily y monpai❤❤👌
Brian Barczyk,720994,Snappy
CoralFish12g,2192126,You asshole
MonkeyBoo,1127160,anyone noticed the monkeys dick
Think Like A Horse,1467503,the first time i saw the original video i thought this sounds like rick when he’s making fun of someone giving treats lol very cool video glad u reviewed this video
Brave Wilderness,2184028,When are you going to Australia?
Mạnh CFM,500773,Chanel mình làm video về các game mobile mới ra và chuẩn bị ra mắt mn qua xem ủng hộ với ạ
Brian Barczyk,423925,You guys should start breeding crested geckos!!!!!!!!!!🦎🦎🦎🦎🦎🦎🦎🦎🦎
AlexCreative,1933861,Саша я бы хотела 3 твоих драконов. Просто когда я их делаю у меня идёт всё наперекосяк
Sophia- Maria,1296076,great riding! :)
MAI PM,1977062,baited clicked. no goat. dislike.
MaxluvsMya,2053442,Egypt for the Mama cat and for her 6 kittens: Jasper and Casper for the 2 black ones and Baxter Daisy Muffin and Mittens for the rest. *HUGS*
Natalie,369256,Defiantly stopping by most likely on Friday
Brave Wilderness,471554,Working on a farm in Western Australia you get thousands of them aha Ive been bitten once they dont scare me not like a wolf spider anyway aha
best pets,2358195,You can tell these are set ups no one fights back and the owners are not scared that their puppies may get hurt. My brothers dog got stabbed by some assholes harassing his kids in the park.
Brave Wilderness,1708675,Its almost like it knew about the boiling pots.
Brian Barczyk,179513,can you please make more blue tounge skink vids
The Pet Collective,2199602,anyone know the name of the second song?? thanks!!
Kitten Academy,1667341,New kittens are little cuties
Brian Barczyk,1185151,Lori did not cheet
The Neighbors,2097645,Did she get to the front of the line because she was pushing Val in a wheelchair?  Terri
Brave Wilderness,1346006,I really love your channel because I love animals and insects and you give the best details and I would like to have that pack cause I am an adventure loving guy
Brave Wilderness,1268952,of course the coyote because we all know that the coyote pack is the best and the strongest 💜💪🐺
Brian Barczyk,604337,What a wonderful way to start a day <3
Hope For Paws - Official Rescue Channel,574727,My dog is quite the handful. I hear my parents talk about getting rid of him. But it makes me break to think of him when we drop him of everyday saying this is the day the are going to come back. This is gonna be the day. And then we never come back. It just absolutely breaks my heart. It would rather keep him until his time is up.
Jay Wilson,701248,My dream!! You da man Jay!
Top View Viral,2335628,wow el ultimo de ptm y las carcasas wow quiero uno asi like bro
Brave Wilderness,2002512,The sloth is so cute!
Live2Thrill,792794,Heck yea I hear ya it looks good man awesome work
ViralHog,824051,THIS IS TOO CUTE!
Gardea23,1827751,Yesssss u postedI was so worriedI loveeeeeeeeeee laika❤️❤️❤️❤️❤️❤️❤️
Live2Thrill,198973,Show us the cleaning of the k20
MonkeyBoo,2495200,Who is filming egen your not filming
The Dodo,2307691,TO CUTE I CANT TELL HOW CUTE IT IS 💛💛💛💛💛💛
Viral Maniacs,537383,Wow for the first one I thought someone fast forwarded the video when they began to play really fast
RaleighLink14,1258532,Yay! Most of the comments are positive! (But theres still that one nasty group of people smh you know who you are) I hope it makes you feel real good to make someone cry like that.
Lolaboo two2,1242674,Good for her 😂
Brave Wilderness,929208,This guy could rival the dudsons
Brave Wilderness,425946,17:20 Go Famous Lobsters!!!!!!!!!!!!!!
Brave Wilderness,737429,Was this just like a big sponser or did he just run out of content
Taylor Nicole Dean,1630115,I went to the pet store to get Beta fish for a beta sorority tank I ended up getting one gold fish named finchjarld 😂😂😂😂
Mr. Max T.V.,1934408,The tapping amazes me. Quite the drummer.
Thor Unleashed,8511,Awww bless Thor
Cute Cats Kwazi and Uli,1905648,He is so precious! Thanks for sharing Swazis progress with us!  xoxo
Vet Ranch,1685560,Poor baby girl. I am now sad
HammyLux,2371189,the lighting is great!
Paws Channel,2065791,Thats a good dog
Taylor Nicole Dean,1659835,I LAUGHED SO HARD AT THE SHIPPING A CAMEL PART
NeSekret TV,1065432,такая красавица )я бы взяла  если бы не жила так далеко :с
MarineDepot.com,1066701,all tho I wouldnt have room for the sump they are super cool and I bet I could store it for use later.
The Dro,24929,Most dogs would attack after growling like that and still messing with them while theyre growling is a wolf dog different?
PETA (People for the Ethical Treatment of Animals),1012990,why Im going to slap those Farmers silly again like a million times
Brave Wilderness,970680,How can people comment so fast on here?
Taylor Nicole Dean,1980139,I love your hedgehog😍😍😍
Gnat Vova,781815,Funny Dog
Robin Seplut,1107395,Thank you Robin for looking after them!😸😻🐕💕
RedLeopardVideos,1985807,whats so bad about the rathalos line? theyre hella easy...
stacyvlogs,822808,Omg Im so early and absolutely love you 😘
The Dodo,1705392,that poor thing :( :(
ERB2,210164,congratulation both guys daaaaaaamn !!!!!!!
Einstein Parrot,534530,Hi great video! LOL thats just too funny (the growling) 😆! I love Parrots 😄
Amethyst Is Cutie,2334730,Give me a shout out
